Nationality,Number,Model
"Capellan Confederation",01,"VND-1R Vindicator"
"Capellan Confederation",02,"TDR-5S Thunderbolt"
"Capellan Confederation",03,"WVR-6R Wolverine"
"Capellan Confederation",04,"CRD-3R Crusader"
"Capellan Confederation",05,"RFL-3N Rifleman"
"Capellan Confederation",06,"WVE-5N Wyvern"
"Draconis Combine",01,"PNT-9R Panther"
"Draconis Combine",02,"SDR-5V Spider"
"Draconis Combine",03,"DRG-1N Dragon"
"Draconis Combine",04,"ARC-2R Archer"
"Draconis Combine",05,"CGR-1A1 Charger"
"Draconis Combine",06,"LNC25-01 Lancelot"
"Federated Suns",01,"VLK-QA Valkyrie"
"Federated Suns",02,"ENF-4R Enforcer"
"Federated Suns",03,"VTR-9B Victor"
"Federated Suns",04,"MAD-3R Marauder"
"Federated Suns",05,"JM6-S JagerMech"
"Federated Suns",06,"THG-11E Thug"
"Free Worlds League",01,"CDA-2A Cicada"
"Free Worlds League",02,"HER-2S Hermes II"
"Free Worlds League",03,"TBT-N Trebuchet"
"Free Worlds League",04,"ON1-K Orion"
"Free Worlds League",05,"HBK-4G Hunchback"
"Free Worlds League",06,"GLT-3N Guillotine"
"Lyran Commonwealth",01,"COM-2D Commando"
"Lyran Commonwealth",02,"PXH-1 Phoenix Hawk"
"Lyran Commonwealth",03,"ZEU-6S Zeus"
"Lyran Commonwealth",04,"GRF-1N Griffin"
"Lyran Commonwealth",05,"FS9-H Firestarter"
"Lyran Commonwealth",06,"BL6-KNT Black Knight"
"Periphery",01,"LCT-1V Locust"
"Periphery",02,"SHD-2H Shadow Hawk"
"Periphery",03,"DV-6M Dervish"
"Periphery",04,"QKD-4G Quickdraw"
"Periphery",05,"WHM-6R Warhammer"
"Periphery",06,"HGN-733 Highlander"
