Nationality,Number,Model
"Capellan Confederation",01,"Swift Wind Scout Car"
"Capellan Confederation",02,"Pegasus Scout Tank"
"Capellan Confederation",03,"Maxim Hover Transport"
"Capellan Confederation",04,"Wheeled APC"
"Capellan Confederation",05,"Schrek PPC Carrier"
"Capellan Confederation",06,"Brutus Assault Tank"
"Draconis Combine",01,"Skulker Wheeled Scout Tank"
"Draconis Combine",02,"Saladin Assault Hover Tank"
"Draconis Combine",03,"Saracen Medium Hover Tank"
"Draconis Combine",04,"Scimitar Medium Hover Tank"
"Draconis Combine",05,"Demolisher Heavy Tank"
"Draconis Combine",06,"Tokugawa Heavy Tank"
"Federated Suns",01,"Ferret Light Scout VTOL"
"Federated Suns",02,"Goblin Medium Tank"
"Federated Suns",03,"Bulldog Medium Tank"
"Federated Suns",04,"Manticore Heavy Tank"
"Federated Suns",05,"Partisan Heavy Tank"
"Federated Suns",06,"Behemoth Heavy Tank"
"Free Worlds League",01,"Harasser Missile Platform"
"Free Worlds League",02,"Hetzer Wheeled Assault Gun"
"Free Worlds League",03,"Ontos Heavy Tank"
"Free Worlds League",04,"Galleon Light Tank"
"Free Worlds League",05,"Hover APC"
"Free Worlds League",06,"LRM Carrier"
"Lyran Commonwealth",01,"Packrat Long Range Patrol Vehicle"
"Lyran Commonwealth",02,"Warrior H-7 Attack Helicopter"
"Lyran Commonwealth",03,"Hunter Light Support Tank"
"Lyran Commonwealth",04,"Condor Heavy Hover Tank"
"Lyran Commonwealth",05,"Drillson Heavy Hover Tank"
"Lyran Commonwealth",06,"Sturmfeur Heavy Tank"
"Periphery",01,"J.Edgar Light Hover Tank"
"Periphery",02,"Pike Support Vehicle"
"Periphery",03,"LRM Carrier"
"Periphery",04,"SRM Carrier"
"Periphery",05,"Tracked APC"
"Periphery",06,"Ignis"
